Sep 3 15:12:10 192.168.99.1 Checkpoint: 3Sep2007 15:12:10 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 41906; s_port: 15352;
Sep 3 15:12:11 192.168.99.1 Checkpoint: 3Sep2007 15:12:11 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 7297; s_port: 16271;
Sep 3 15:12:12 192.168.99.1 Checkpoint: 3Sep2007 15:12:12 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 1640; s_port: 34142;
Sep 3 15:12:13 192.168.99.1 Checkpoint: 3Sep2007 15:12:13 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 48599; s_port: 40477;
Sep 3 15:12:14 192.168.99.1 Checkpoint: 3Sep2007 15:12:14 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 18025; s_port: 2763;
Sep 3 15:12:15 192.168.99.1 Checkpoint: 3Sep2007 15:12:15 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 16050; s_port: 37805;
Sep 3 15:12:16 192.168.99.1 Checkpoint: 3Sep2007 15:12:16 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 14629; s_port: 14055;
Sep 3 15:12:17 192.168.99.1 Checkpoint: 3Sep2007 15:12:17 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 9145; s_port: 47949;
Sep 3 15:12:18 192.168.99.1 Checkpoint: 3Sep2007 15:12:18 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 48266; s_port: 43614;
Sep 3 15:12:19 192.168.99.1 Checkpoint: 3Sep2007 15:12:19 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 6718; s_port: 46986;
Sep 3 15:12:10 192.168.99.1 Checkpoint: 3Sep2007 15:12:10 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 44349; s_port: 36737;
