Sep 3 15:10:00 192.168.99.1 Checkpoint: 3Sep2007 15:10:00 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 52811; s_port: 59052;
Sep 3 15:10:08 192.168.99.1 Checkpoint: 3Sep2007 15:10:08 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 10464; s_port: 57496;
Sep 3 15:10:16 192.168.99.1 Checkpoint: 3Sep2007 15:10:16 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 45754; s_port: 24724;
Sep 3 15:10:24 192.168.99.1 Checkpoint: 3Sep2007 15:10:24 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 27697; s_port: 38861;
Sep 3 15:10:32 192.168.99.1 Checkpoint: 3Sep2007 15:10:32 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 22299; s_port: 13625;
Sep 3 15:10:40 192.168.99.1 Checkpoint: 3Sep2007 15:10:40 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 18211; s_port: 47198;
Sep 3 15:10:48 192.168.99.1 Checkpoint: 3Sep2007 15:10:48 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 10190; s_port: 5582;
Sep 3 15:10:56 192.168.99.1 Checkpoint: 3Sep2007 15:10:56 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 14111; s_port: 4027;
Sep 3 15:10:04 192.168.99.1 Checkpoint: 3Sep2007 15:10:04 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 62732; s_port: 44360;
Sep 3 15:10:12 192.168.99.1 Checkpoint: 3Sep2007 15:10:12 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 50037; s_port: 15959;
Sep 3 15:10:20 192.168.99.1 Checkpoint: 3Sep2007 15:10:20 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 22060; s_port: 51687;
Sep 3 15:10:28 192.168.99.1 Checkpoint: 3Sep2007 15:10:28 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 6699; s_port: 19989;
Sep 3 15:11:36 192.168.99.1 Checkpoint: 3Sep2007 15:11:36 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 6079; s_port: 6253;
Sep 3 15:11:44 192.168.99.1 Checkpoint: 3Sep2007 15:11:44 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 24899; s_port: 57078;
Sep 3 15:11:52 192.168.99.1 Checkpoint: 3Sep2007 15:11:52 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 6339; s_port: 16280;
Sep 3 15:11:00 192.168.99.1 Checkpoint: 3Sep2007 15:11:00 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 23527; s_port: 57809;
Sep 3 15:11:08 192.168.99.1 Checkpoint: 3Sep2007 15:11:08 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 55542; s_port: 7643;
Sep 3 15:11:16 192.168.99.1 Checkpoint: 3Sep2007 15:11:16 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 22542; s_port: 25935;
Sep 3 15:11:24 192.168.99.1 Checkpoint: 3Sep2007 15:11:24 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 39566; s_port: 19241;
Sep 3 15:11:32 192.168.99.1 Checkpoint: 3Sep2007 15:11:32 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 17336; s_port: 30738;
Sep 3 15:11:40 192.168.99.1 Checkpoint: 3Sep2007 15:11:40 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 52896; s_port: 42684;
Sep 3 15:11:48 192.168.99.1 Checkpoint: 3Sep2007 15:11:48 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 2848; s_port: 55688;
Sep 3 15:11:56 192.168.99.1 Checkpoint: 3Sep2007 15:11:56 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 47824; s_port: 24933;
Sep 3 15:11:04 192.168.99.1 Checkpoint: 3Sep2007 15:11:04 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 30109; s_port: 11683;
Sep 3 15:12:12 192.168.99.1 Checkpoint: 3Sep2007 15:12:12 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 35143; s_port: 25284;
Sep 3 15:12:20 192.168.99.1 Checkpoint: 3Sep2007 15:12:20 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 8181; s_port: 24307;
Sep 3 15:12:28 192.168.99.1 Checkpoint: 3Sep2007 15:12:28 drop 192.168.11.34 >eth8 rule: 134; rule_uid: {11111111-2222-3333-BD17-711F536C7C33}; service_id: port-scan; src: 192.168.11.34; dst: 10.0.0.1; proto: tcp; product: VPN-1 & FireWall-1; service: 63775; s_port: 14754;
